Using GPU for training.
Epoch 99, Score -9.0000, Loss 0.4146, Time 0.8576
Epoch 100, Score -11.0000, Loss 0.3792, Time 0.8594
Epoch 101, Score -13.0000, Loss 0.4004, Time 0.8729
Epoch 102, Score -15.0000, Loss 0.3885, Time 0.8850
Epoch 103, Score -17.0000, Loss 0.3361, Time 0.8688
Epoch 104, Score -19.0000, Loss 0.3260, Time 0.8712
Epoch 105, Score 0.0000, Loss 0.3868, Time 0.8939
Epoch 106, Score -2.0000, Loss 0.4565, Time 0.8784
Epoch 107, Score -4.0000, Loss 0.4815, Time 0.8831
Epoch 108, Score -6.0000, Loss 0.4427, Time 0.8856
Epoch 109, Score -8.0000, Loss 0.3409, Time 0.8900
Epoch 110, Score -9.0000, Loss 0.2780, Time 0.9024
Epoch 111, Score -11.0000, Loss 0.3691, Time 0.8924
Epoch 112, Score -13.0000, Loss 0.3152, Time 0.8950
Epoch 113, Score -15.0000, Loss 0.3181, Time 0.9027
Epoch 114, Score -18.0000, Loss 0.3195, Time 0.8960
Epoch 115, Score -20.0000, Loss 0.3165, Time 0.9110
Epoch 116, Score 0.0000, Loss 0.3097, Time 0.9133
Epoch 117, Score -2.0000, Loss 0.2931, Time 0.9001
Epoch 118, Score -4.0000, Loss 0.3674, Time 0.9063
Epoch 119, Score -6.0000, Loss 0.4761, Time 0.9159
Epoch 120, Score -9.0000, Loss 0.4572, Time 0.9112
Epoch 121, Score -11.0000, Loss 0.4187, Time 0.9128
Epoch 122, Score -11.0000, Loss 0.3188, Time 0.9131
Epoch 123, Score -13.0000, Loss 0.4109, Time 0.9212
Epoch 124, Score -15.0000, Loss 0.4127, Time 0.9190
Epoch 125, Score -17.0000, Loss 0.4176, Time 0.9206
Epoch 126, Score -19.0000, Loss 0.3240, Time 0.9229
Epoch 127, Score -20.0000, Loss 0.2935, Time 0.9239
Epoch 128, Score -1.0000, Loss 0.3270, Time 0.9562
Epoch 129, Score -3.0000, Loss 0.4103, Time 0.9330
Epoch 130, Score -5.0000, Loss 0.2337, Time 0.9410
Epoch 131, Score -7.0000, Loss 0.2497, Time 0.9355
Epoch 132, Score -9.0000, Loss 0.2865, Time 0.9397
Epoch 133, Score -11.0000, Loss 0.2246, Time 0.9420
Epoch 134, Score -10.0000, Loss 0.2973, Time 0.9447
Epoch 135, Score -12.0000, Loss 0.3289, Time 0.9483
Epoch 136, Score -14.0000, Loss 0.2328, Time 0.9630
Epoch 137, Score -16.0000, Loss 0.2477, Time 0.9550
Epoch 138, Score -18.0000, Loss 0.2737, Time 0.9551
Epoch 139, Score 0.0000, Loss 0.3133, Time 0.9700
Epoch 140, Score -1.0000, Loss 0.2774, Time 0.9533
Epoch 141, Score -4.0000, Loss 0.4131, Time 0.9617
Epoch 142, Score -6.0000, Loss 0.3444, Time 0.9595
Epoch 143, Score -8.0000, Loss 0.2807, Time 0.9651
Epoch 144, Score -10.0000, Loss 0.4786, Time 0.9687
Epoch 145, Score -12.0000, Loss 0.4912, Time 0.9833
Epoch 146, Score -14.0000, Loss 0.4670, Time 0.9707
Epoch 147, Score -15.0000, Loss 0.3388, Time 0.9779
Epoch 148, Score -15.0000, Loss 0.4829, Time 0.9804
Epoch 149, Score -18.0000, Loss 0.4043, Time 0.9871
Epoch 150, Score -20.0000, Loss 0.4507, Time 0.9906
Epoch 151, Score 0.0000, Loss 0.3589, Time 1.0026
Epoch 152, Score -2.0000, Loss 0.3424, Time 0.9841
Epoch 153, Score -5.0000, Loss 0.4046, Time 0.9886
Epoch 154, Score -7.0000, Loss 0.3632, Time 1.0102
Epoch 155, Score -9.0000, Loss 0.3167, Time 0.9925
Epoch 156, Score -11.0000, Loss 0.3493, Time 0.9960
Epoch 157, Score -12.0000, Loss 0.3741, Time 0.9952
Epoch 158, Score -14.0000, Loss 0.3932, Time 1.0064
Epoch 159, Score -16.0000, Loss 0.3382, Time 1.0041
Epoch 160, Score -18.0000, Loss 0.2925, Time 1.0132
Epoch 161, Score -17.0000, Loss 0.2950, Time 1.0108
Epoch 162, Score -19.0000, Loss 0.3942, Time 1.0211
Epoch 163, Score 0.0000, Loss 0.3925, Time 1.0287
Epoch 164, Score -2.0000, Loss 0.3640, Time 1.0122
Epoch 165, Score -4.0000, Loss 0.3966, Time 1.0199
Epoch 166, Score -6.0000, Loss 0.3227, Time 1.0210
Epoch 167, Score -5.0000, Loss 0.3645, Time 1.0197
Epoch 168, Score -7.0000, Loss 0.4379, Time 1.0270
Epoch 169, Score -9.0000, Loss 0.3314, Time 1.0286
Epoch 170, Score -11.0000, Loss 0.3086, Time 1.0303
Epoch 171, Score -13.0000, Loss 0.2884, Time 1.0397
Epoch 172, Score -15.0000, Loss 0.3043, Time 1.0314
Epoch 173, Score -16.0000, Loss 0.2992, Time 1.0407
Epoch 174, Score -18.0000, Loss 0.3689, Time 1.0379
Epoch 175, Score 0.0000, Loss 0.3087, Time 1.0600
Epoch 176, Score -1.0000, Loss 0.2796, Time 1.0424
Epoch 177, Score -3.0000, Loss 0.3090, Time 1.0489
Epoch 178, Score -5.0000, Loss 0.3694, Time 1.0478
Epoch 179, Score -4.0000, Loss 0.2584, Time 1.0491
Epoch 180, Score -6.0000, Loss 0.2809, Time 1.0721
Epoch 181, Score -6.0000, Loss 0.2787, Time 1.0627
Epoch 182, Score -8.0000, Loss 0.3229, Time 1.0621
Epoch 183, Score -10.0000, Loss 0.2485, Time 1.0687
Epoch 184, Score -13.0000, Loss 0.2806, Time 1.0674
Epoch 185, Score -15.0000, Loss 0.2403, Time 1.0673
Epoch 186, Score -17.0000, Loss 0.3144, Time 1.0709
Epoch 187, Score -19.0000, Loss 0.2188, Time 1.0690
Epoch 188, Score 0.0000, Loss 0.2991, Time 1.0923
Epoch 189, Score -2.0000, Loss 0.2326, Time 1.0678
Epoch 190, Score -5.0000, Loss 0.2297, Time 1.0707
Epoch 191, Score -7.0000, Loss 0.2932, Time 1.0812
Epoch 192, Score -9.0000, Loss 0.2616, Time 1.0820
Epoch 193, Score -11.0000, Loss 0.2551, Time 1.0849
Epoch 194, Score -13.0000, Loss 0.2474, Time 1.0880
Epoch 195, Score -15.0000, Loss 0.2666, Time 1.0931
Epoch 196, Score -17.0000, Loss 0.2720, Time 1.0941
Epoch 197, Score -19.0000, Loss 0.2481, Time 1.1149
Epoch 198, Score 0.0000, Loss 0.3452, Time 1.1136
Epoch 199, Score -2.0000, Loss 0.2122, Time 1.0974
Epoch 200, Score -1.0000, Loss 0.2432, Time 1.1012
Epoch 201, Score -3.0000, Loss 0.2580, Time 1.1013
Epoch 202, Score -5.0000, Loss 0.2548, Time 1.1081
Epoch 203, Score -7.0000, Loss 0.2455, Time 1.1020
Epoch 204, Score -9.0000, Loss 0.1986, Time 1.1074
Epoch 205, Score -11.0000, Loss 0.2376, Time 1.1130
Epoch 206, Score -14.0000, Loss 0.2971, Time 1.1319
Epoch 207, Score -16.0000, Loss 0.1994, Time 1.1187
Epoch 208, Score -18.0000, Loss 0.2576, Time 1.1180
Epoch 209, Score 0.0000, Loss 0.2288, Time 1.1339
Epoch 210, Score -1.0000, Loss 0.2556, Time 1.1237
Epoch 211, Score -3.0000, Loss 0.2350, Time 1.1263
Epoch 212, Score -4.0000, Loss 0.2242, Time 1.1247
Epoch 213, Score -6.0000, Loss 0.2203, Time 1.1248
Epoch 214, Score -8.0000, Loss 0.2151, Time 1.1408
Epoch 215, Score -10.0000, Loss 0.2026, Time 1.1283
Epoch 216, Score -12.0000, Loss 0.2580, Time 1.1311
Epoch 217, Score -14.0000, Loss 0.2388, Time 1.1385
Epoch 218, Score -16.0000, Loss 0.2104, Time 1.1424
Epoch 219, Score -16.0000, Loss 0.2036, Time 1.1453
Epoch 220, Score -18.0000, Loss 0.1958, Time 1.1457
Epoch 221, Score -19.0000, Loss 0.1581, Time 1.1443
Epoch 222, Score -1.0000, Loss 0.1594, Time 1.1675
Epoch 223, Score -3.0000, Loss 0.1730, Time 1.1597
Epoch 224, Score -4.0000, Loss 0.2804, Time 1.1586
Epoch 225, Score -5.0000, Loss 0.1953, Time 1.1644
Epoch 226, Score -7.0000, Loss 0.1567, Time 1.1663
Epoch 227, Score -9.0000, Loss 0.1817, Time 1.1635
Epoch 228, Score -11.0000, Loss 0.2898, Time 1.1688
Epoch 229, Score -13.0000, Loss 0.1942, Time 1.1688
Epoch 230, Score -15.0000, Loss 0.2154, Time 1.1684
Epoch 231, Score -14.0000, Loss 0.1627, Time 1.1807
Epoch 232, Score -16.0000, Loss 0.1782, Time 1.1772
Epoch 233, Score -18.0000, Loss 0.1801, Time 1.1790
Epoch 234, Score 0.0000, Loss 0.2197, Time 1.1956
Epoch 235, Score -2.0000, Loss 0.1722, Time 1.1845
Epoch 236, Score -3.0000, Loss 0.1785, Time 1.1843
Epoch 237, Score -5.0000, Loss 0.1805, Time 1.1833
Epoch 238, Score -7.0000, Loss 0.2207, Time 1.1907
Epoch 239, Score -9.0000, Loss 0.1456, Time 1.1866
Epoch 240, Score -9.0000, Loss 0.1665, Time 1.1937
Epoch 241, Score -10.0000, Loss 0.1415, Time 1.1967
Epoch 242, Score -12.0000, Loss 0.1101, Time 1.1984
Epoch 243, Score -13.0000, Loss 0.2472, Time 1.2049
Epoch 244, Score -15.0000, Loss 0.1676, Time 1.2040
Epoch 245, Score -18.0000, Loss 0.1767, Time 1.2051
Epoch 246, Score -19.0000, Loss 0.1800, Time 1.2100
Epoch 247, Score -18.0000, Loss 0.1759, Time 1.2066
Epoch 248, Score 0.0000, Loss 0.1400, Time 1.2325
Epoch 249, Score -2.0000, Loss 0.2945, Time 1.2347
Epoch 250, Score -2.0000, Loss 0.1447, Time 1.2196
Epoch 251, Score -3.0000, Loss 0.1446, Time 1.2186
Epoch 252, Score -6.0000, Loss 0.1918, Time 1.2212
Epoch 253, Score -8.0000, Loss 0.1556, Time 1.2256
Epoch 254, Score -9.0000, Loss 0.1422, Time 1.2283
Epoch 255, Score -12.0000, Loss 0.1491, Time 1.2276
Epoch 256, Score -13.0000, Loss 0.1683, Time 1.2412
Epoch 257, Score -15.0000, Loss 0.1794, Time 1.2383
Epoch 258, Score -17.0000, Loss 0.1270, Time 1.2450
Epoch 259, Score -19.0000, Loss 0.1144, Time 1.2456
Epoch 260, Score 0.0000, Loss 0.1646, Time 1.2614
Epoch 261, Score -2.0000, Loss 0.1688, Time 1.2505
Epoch 262, Score -4.0000, Loss 0.1695, Time 1.2523
Epoch 263, Score -6.0000, Loss 0.1471, Time 1.2522
Epoch 264, Score -8.0000, Loss 0.1543, Time 1.2567
Epoch 265, Score -9.0000, Loss 0.1756, Time 1.2522
Epoch 266, Score -11.0000, Loss 0.1697, Time 1.2577
Epoch 267, Score -13.0000, Loss 0.1585, Time 1.2562
Epoch 268, Score -16.0000, Loss 0.1475, Time 1.2620
Epoch 269, Score -18.0000, Loss 0.1501, Time 1.2614
Epoch 270, Score -19.0000, Loss 0.1593, Time 1.2646
Epoch 271, Score 0.0000, Loss 0.1729, Time 1.2856
Epoch 272, Score -1.0000, Loss 0.1461, Time 1.2683
Epoch 273, Score -1.0000, Loss 0.1441, Time 1.2705
Epoch 274, Score -2.0000, Loss 0.1804, Time 1.2768
Epoch 275, Score -3.0000, Loss 0.1832, Time 1.2803
Epoch 276, Score -2.0000, Loss 0.1400, Time 1.2727
Epoch 277, Score -4.0000, Loss 0.1723, Time 1.2754
Epoch 278, Score -7.0000, Loss 0.1459, Time 1.2805
Epoch 279, Score -9.0000, Loss 0.1393, Time 1.2850
Epoch 280, Score -11.0000, Loss 0.1453, Time 1.2941
Epoch 281, Score -13.0000, Loss 0.1849, Time 1.2950
Epoch 282, Score -15.0000, Loss 0.1595, Time 1.3011
Epoch 283, Score -15.0000, Loss 0.1719, Time 1.3051
Epoch 284, Score -16.0000, Loss 0.1331, Time 1.3087
Epoch 285, Score 0.0000, Loss 0.1454, Time 1.3237
Epoch 286, Score -2.0000, Loss 0.1496, Time 1.3128
Epoch 287, Score -4.0000, Loss 0.1709, Time 1.3081
Epoch 288, Score -6.0000, Loss 0.1344, Time 1.3134
Epoch 289, Score -8.0000, Loss 0.1234, Time 1.3144
Epoch 290, Score -10.0000, Loss 0.1348, Time 1.3140
Epoch 291, Score -12.0000, Loss 0.1204, Time 1.3217
Epoch 292, Score -14.0000, Loss 0.1310, Time 1.3295
Epoch 293, Score -16.0000, Loss 0.1308, Time 1.3183
Epoch 294, Score -18.0000, Loss 0.1248, Time 1.3187
Epoch 295, Score 0.0000, Loss 0.1840, Time 1.3454
Epoch 296, Score -1.0000, Loss 0.0897, Time 1.3229
Epoch 297, Score -3.0000, Loss 0.1894, Time 1.3313
Epoch 298, Score -4.0000, Loss 0.1569, Time 1.3322
Epoch 299, Score -6.0000, Loss 0.1259, Time 1.3308
Epoch 300, Score -8.0000, Loss 0.1049, Time 1.3412
Epoch 301, Score -10.0000, Loss 0.1842, Time 1.3654
Epoch 302, Score -12.0000, Loss 0.1217, Time 1.3433
Epoch 303, Score -14.0000, Loss 0.1233, Time 1.3396
Epoch 304, Score -16.0000, Loss 0.0999, Time 1.3469
Epoch 305, Score -18.0000, Loss 0.1735, Time 1.3449
Epoch 306, Score -20.0000, Loss 0.1412, Time 1.3474
Epoch 307, Score 0.0000, Loss 0.2086, Time 1.3662
Epoch 308, Score -2.0000, Loss 0.1778, Time 1.3508
Epoch 309, Score -5.0000, Loss 0.1214, Time 1.3626
Epoch 310, Score -7.0000, Loss 0.1434, Time 1.3588
Epoch 311, Score -9.0000, Loss 0.1248, Time 1.3603
Epoch 312, Score -11.0000, Loss 0.2183, Time 1.3663
Epoch 313, Score -13.0000, Loss 0.1553, Time 1.3763
Epoch 314, Score -15.0000, Loss 0.1136, Time 1.3629
Epoch 315, Score -16.0000, Loss 0.1094, Time 1.3650
Epoch 316, Score -18.0000, Loss 0.0952, Time 1.3662
Epoch 317, Score -20.0000, Loss 0.1039, Time 1.3700
Epoch 318, Score 0.0000, Loss 0.1319, Time 1.3967
Epoch 319, Score -1.0000, Loss 0.1356, Time 1.3800
Epoch 320, Score -3.0000, Loss 0.1326, Time 1.3779
Epoch 321, Score -4.0000, Loss 0.1272, Time 1.3767
Epoch 322, Score -6.0000, Loss 0.1326, Time 1.3837
Epoch 323, Score -9.0000, Loss 0.1160, Time 1.3868
Epoch 324, Score -11.0000, Loss 0.1144, Time 1.4038
Epoch 325, Score -13.0000, Loss 0.1008, Time 1.3959
Epoch 326, Score -15.0000, Loss 0.1063, Time 1.4013
Epoch 327, Score -17.0000, Loss 0.1075, Time 1.4036
Epoch 328, Score -19.0000, Loss 0.1056, Time 1.4029
Epoch 329, Score 0.0000, Loss 0.1245, Time 1.4172
Epoch 330, Score -1.0000, Loss 0.1043, Time 1.3997
Epoch 331, Score -3.0000, Loss 0.1032, Time 1.4045
Epoch 332, Score -5.0000, Loss 0.0905, Time 1.4091
Epoch 333, Score -5.0000, Loss 0.1125, Time 1.4127
Epoch 334, Score -6.0000, Loss 0.0940, Time 1.4081
Epoch 335, Score -8.0000, Loss 0.0788, Time 1.4472
Epoch 336, Score -10.0000, Loss 0.1371, Time 1.4292
Epoch 337, Score -12.0000, Loss 0.1077, Time 1.4292
Epoch 338, Score -15.0000, Loss 0.1008, Time 1.4168
Epoch 339, Score -17.0000, Loss 0.1041, Time 1.4239
