Using GPU for training.
Epoch 99, Score -17.0000, Loss 0.5907, Time 0.8325
Epoch 100, Score -19.0000, Loss 0.4792, Time 0.8309
Epoch 101, Score -1.0000, Loss 0.5003, Time 0.8638
Epoch 102, Score -2.0000, Loss 0.5094, Time 0.8419
Epoch 103, Score -5.0000, Loss 0.3069, Time 0.8410
Epoch 104, Score -5.0000, Loss 0.2861, Time 0.8415
Epoch 105, Score -7.0000, Loss 0.2556, Time 0.8447
Epoch 106, Score -7.0000, Loss 0.1662, Time 0.8496
Epoch 107, Score -9.0000, Loss 0.2174, Time 0.8461
Epoch 108, Score -12.0000, Loss 0.1924, Time 0.8461
Epoch 109, Score -14.0000, Loss 0.1780, Time 0.8545
Epoch 110, Score -15.0000, Loss 0.2389, Time 0.8530
Epoch 111, Score -17.0000, Loss 0.1441, Time 0.8571
Epoch 112, Score -19.0000, Loss 0.1247, Time 0.8635
Epoch 113, Score 0.0000, Loss 0.3994, Time 0.8785
Epoch 114, Score -2.0000, Loss 0.3060, Time 0.8709
Epoch 115, Score -4.0000, Loss 0.4816, Time 0.8700
Epoch 116, Score -4.0000, Loss 0.3533, Time 0.8686
Epoch 117, Score -5.0000, Loss 0.2678, Time 0.8709
Epoch 118, Score -7.0000, Loss 0.6948, Time 0.8731
Epoch 119, Score -6.0000, Loss 0.6473, Time 0.8770
Epoch 120, Score -6.0000, Loss 0.4176, Time 0.8816
Epoch 121, Score -8.0000, Loss 0.5910, Time 0.8846
Epoch 122, Score -10.0000, Loss 0.4819, Time 0.8862
Epoch 123, Score -12.0000, Loss 0.5944, Time 0.8862
Epoch 124, Score -14.0000, Loss 0.4361, Time 0.8978
Epoch 125, Score -16.0000, Loss 0.5271, Time 0.8942
Epoch 126, Score -15.0000, Loss 0.4395, Time 0.8948
Epoch 127, Score -17.0000, Loss 0.4372, Time 0.8973
Epoch 128, Score 0.0000, Loss 0.5151, Time 0.9203
Epoch 129, Score -2.0000, Loss 0.5073, Time 0.9043
Epoch 130, Score -4.0000, Loss 0.5073, Time 0.9062
Epoch 131, Score -6.0000, Loss 0.5601, Time 0.9066
Epoch 132, Score -8.0000, Loss 0.4783, Time 0.9112
Epoch 133, Score -10.0000, Loss 0.3832, Time 0.9235
Epoch 134, Score -12.0000, Loss 0.3151, Time 0.9140
Epoch 135, Score -14.0000, Loss 0.3350, Time 0.9204
Epoch 136, Score -13.0000, Loss 0.3609, Time 0.9176
Epoch 137, Score -15.0000, Loss 0.5572, Time 0.9184
Epoch 138, Score -17.0000, Loss 0.4043, Time 0.9247
Epoch 139, Score -19.0000, Loss 0.3115, Time 0.9295
Epoch 140, Score -1.0000, Loss 0.4389, Time 0.9498
Epoch 141, Score -2.0000, Loss 0.3786, Time 0.9368
Epoch 142, Score -4.0000, Loss 0.3643, Time 0.9384
