Using GPU for training.
Epoch 99, Score -12.0000, Loss 0.1894, Time 0.8778
Epoch 100, Score -11.0000, Loss 0.1813, Time 0.8721
Epoch 101, Score -13.0000, Loss 0.1499, Time 0.8809
Epoch 102, Score -15.0000, Loss 0.1864, Time 0.8910
Epoch 103, Score -17.0000, Loss 0.1906, Time 0.8792
Epoch 104, Score -19.0000, Loss 0.1545, Time 0.8870
Epoch 105, Score -18.0000, Loss 0.1664, Time 0.8851
Epoch 106, Score -18.0000, Loss 0.1429, Time 0.8827
Epoch 107, Score -1.0000, Loss 0.2045, Time 0.9086
Epoch 108, Score -2.0000, Loss 0.1509, Time 0.8926
Epoch 109, Score -4.0000, Loss 0.2376, Time 0.8919
Epoch 110, Score -6.0000, Loss 0.2138, Time 0.9066
Epoch 111, Score -7.0000, Loss 0.2079, Time 0.8979
Epoch 112, Score -9.0000, Loss 0.1986, Time 0.9031
Epoch 113, Score -9.0000, Loss 0.1986, Time 0.9042
Epoch 114, Score -11.0000, Loss 0.2244, Time 0.9104
Epoch 115, Score -13.0000, Loss 0.2472, Time 0.9069
Epoch 116, Score -15.0000, Loss 0.1981, Time 0.9092
Epoch 117, Score -17.0000, Loss 0.1785, Time 0.9244
Epoch 118, Score -19.0000, Loss 0.1737, Time 0.9210
Epoch 119, Score -1.0000, Loss 0.1937, Time 0.9400
Epoch 120, Score -2.0000, Loss 0.2550, Time 0.9316
Epoch 121, Score -4.0000, Loss 0.2217, Time 0.9378
Epoch 122, Score -6.0000, Loss 0.1910, Time 0.9332
Epoch 123, Score -8.0000, Loss 0.1955, Time 0.9360
Epoch 124, Score -10.0000, Loss 0.1988, Time 0.9434
Epoch 125, Score -13.0000, Loss 0.1758, Time 0.9412
Epoch 126, Score -15.0000, Loss 0.2118, Time 0.9342
Epoch 127, Score -17.0000, Loss 0.2118, Time 0.9435
Epoch 128, Score -18.0000, Loss 0.2072, Time 0.9591
Epoch 129, Score -20.0000, Loss 0.2021, Time 0.9448
Epoch 130, Score 0.0000, Loss 0.1807, Time 0.9667
Epoch 131, Score 0.0000, Loss 0.1955, Time 0.9522
Epoch 132, Score -2.0000, Loss 0.1612, Time 0.9509
Epoch 133, Score -4.0000, Loss 0.1759, Time 0.9587
Epoch 134, Score -6.0000, Loss 0.1669, Time 0.9546
Epoch 135, Score -8.0000, Loss 0.1613, Time 0.9621
Epoch 136, Score -11.0000, Loss 0.1632, Time 0.9678
Epoch 137, Score -13.0000, Loss 0.1694, Time 0.9624
Epoch 138, Score -15.0000, Loss 0.1475, Time 0.9698
Epoch 139, Score -14.0000, Loss 0.1456, Time 0.9676
Epoch 140, Score -15.0000, Loss 0.1340, Time 0.9768
Epoch 141, Score -18.0000, Loss 0.1573, Time 0.9789
Epoch 142, Score 0.0000, Loss 0.1657, Time 0.9950
Epoch 143, Score -1.0000, Loss 0.1679, Time 0.9785
Epoch 144, Score -3.0000, Loss 0.1311, Time 0.9823
Epoch 145, Score -3.0000, Loss 0.1324, Time 0.9845
Epoch 146, Score -5.0000, Loss 0.1148, Time 0.9868
Epoch 147, Score -7.0000, Loss 0.1307, Time 0.9865
Epoch 148, Score -9.0000, Loss 0.1565, Time 0.9927
Epoch 149, Score -12.0000, Loss 0.1192, Time 0.9943
