Using GPU for training.
Epoch 99, Score -5.0000, Loss 0.2027, Time 1.0355
Epoch 100, Score -7.0000, Loss 0.2122, Time 1.0374
Epoch 101, Score -9.0000, Loss 0.2214, Time 1.0436
Epoch 102, Score -11.0000, Loss 0.2222, Time 1.0391
Epoch 103, Score -13.0000, Loss 0.2178, Time 1.0399
Epoch 104, Score -14.0000, Loss 0.2237, Time 1.0480
Epoch 105, Score -16.0000, Loss 0.2166, Time 1.0531
Epoch 106, Score -19.0000, Loss 0.2182, Time 1.0544
Epoch 107, Score 0.0000, Loss 0.2238, Time 1.0714
Epoch 108, Score -1.0000, Loss 0.2106, Time 1.0552
Epoch 109, Score 0.0000, Loss 0.2209, Time 1.0543
Epoch 110, Score -1.0000, Loss 0.2339, Time 1.0632
Epoch 111, Score -3.0000, Loss 0.2416, Time 1.0652
Epoch 112, Score -5.0000, Loss 0.2429, Time 1.0643
Epoch 113, Score -8.0000, Loss 0.2460, Time 1.0719
Epoch 114, Score -10.0000, Loss 0.2479, Time 1.0729
Epoch 115, Score -12.0000, Loss 0.2426, Time 1.0695
Epoch 116, Score -14.0000, Loss 0.2366, Time 1.0780
Epoch 117, Score -16.0000, Loss 0.2387, Time 1.0824
Epoch 118, Score -19.0000, Loss 0.2394, Time 1.0947
Epoch 119, Score 0.0000, Loss 0.2423, Time 1.1163
Epoch 120, Score -2.0000, Loss 0.2345, Time 1.0865
Epoch 121, Score -4.0000, Loss 0.2415, Time 1.0864
Epoch 122, Score -6.0000, Loss 0.2294, Time 1.0854
Epoch 123, Score -9.0000, Loss 0.2433, Time 1.1025
Epoch 124, Score -11.0000, Loss 0.2422, Time 1.0984
Epoch 125, Score -11.0000, Loss 0.2490, Time 1.0927
Epoch 126, Score -13.0000, Loss 0.2479, Time 1.1005
Epoch 127, Score -15.0000, Loss 0.2345, Time 1.1050
Epoch 128, Score -18.0000, Loss 0.2499, Time 1.1012
Epoch 129, Score -20.0000, Loss 0.2248, Time 1.1003
Epoch 130, Score 0.0000, Loss 0.2425, Time 1.1308
Epoch 131, Score -2.0000, Loss 0.2447, Time 1.1083
Epoch 132, Score -5.0000, Loss 0.2466, Time 1.1117
Epoch 133, Score -7.0000, Loss 0.2424, Time 1.1091
Epoch 134, Score -9.0000, Loss 0.2513, Time 1.1189
Epoch 135, Score -11.0000, Loss 0.2351, Time 1.1194
Epoch 136, Score -13.0000, Loss 0.2467, Time 1.1255
Epoch 137, Score -15.0000, Loss 0.2476, Time 1.1242
Epoch 138, Score -17.0000, Loss 0.2378, Time 1.1318
Epoch 139, Score -19.0000, Loss 0.2380, Time 1.1302
Epoch 140, Score 0.0000, Loss 0.2486, Time 1.1537
Epoch 141, Score -1.0000, Loss 0.2421, Time 1.1311
Epoch 142, Score -3.0000, Loss 0.2540, Time 1.1287
Epoch 143, Score -5.0000, Loss 0.2469, Time 1.1373
Epoch 144, Score -8.0000, Loss 0.2442, Time 1.1447
Epoch 145, Score -10.0000, Loss 0.2527, Time 1.1404
Epoch 146, Score -11.0000, Loss 0.2455, Time 1.1458
Epoch 147, Score -12.0000, Loss 0.2459, Time 1.1453
Epoch 148, Score -14.0000, Loss 0.2395, Time 1.1502
Epoch 149, Score -17.0000, Loss 0.2407, Time 1.1463
