Epoch 49, Loss 64.3367, TD-Loss 31.8839, NTD-Loss 29.2330, Margin Loss 3.2185, L2 Loss 0.0014
Epoch 50, Loss 62.0299, TD-Loss 32.6182, NTD-Loss 29.7480, Margin Loss -0.3377, L2 Loss 0.0014
Epoch 51, Loss 78.9274, TD-Loss 31.8025, NTD-Loss 37.8707, Margin Loss 9.2528, L2 Loss 0.0014
Epoch 52, Loss 81.3446, TD-Loss 32.1911, NTD-Loss 40.5817, Margin Loss 8.5703, L2 Loss 0.0014
Epoch 53, Loss 76.2238, TD-Loss 32.0939, NTD-Loss 36.6362, Margin Loss 7.4922, L2 Loss 0.0014
Epoch 54, Loss 54.1326, TD-Loss 23.5525, NTD-Loss 26.0540, Margin Loss 4.5247, L2 Loss 0.0014
Epoch 55, Loss 72.7370, TD-Loss 29.6499, NTD-Loss 34.7212, Margin Loss 8.3645, L2 Loss 0.0014
Epoch 56, Loss 48.8993, TD-Loss 24.5734, NTD-Loss 24.2554, Margin Loss 0.0690, L2 Loss 0.0014
Epoch 57, Loss 58.1821, TD-Loss 25.5703, NTD-Loss 27.9106, Margin Loss 4.6998, L2 Loss 0.0014
Epoch 58, Loss 70.6250, TD-Loss 33.8343, NTD-Loss 35.0765, Margin Loss 1.7128, L2 Loss 0.0014
Epoch 59, Loss 41.6187, TD-Loss 22.5412, NTD-Loss 17.2519, Margin Loss 1.8242, L2 Loss 0.0014
Epoch 60, Loss 71.5644, TD-Loss 28.0467, NTD-Loss 35.3830, Margin Loss 8.1331, L2 Loss 0.0014
Epoch 61, Loss 68.8850, TD-Loss 30.3807, NTD-Loss 33.0704, Margin Loss 5.4324, L2 Loss 0.0014
Epoch 62, Loss 68.5458, TD-Loss 29.9014, NTD-Loss 32.2965, Margin Loss 6.3465, L2 Loss 0.0014
Epoch 63, Loss 54.6338, TD-Loss 25.7549, NTD-Loss 26.1398, Margin Loss 2.7376, L2 Loss 0.0014
Epoch 64, Loss 51.8881, TD-Loss 20.7837, NTD-Loss 23.7193, Margin Loss 7.3836, L2 Loss 0.0014
Epoch 65, Loss 61.9897, TD-Loss 25.4300, NTD-Loss 28.7306, Margin Loss 7.8276, L2 Loss 0.0014
Epoch 66, Loss 69.7377, TD-Loss 32.9792, NTD-Loss 33.3788, Margin Loss 3.3782, L2 Loss 0.0014
Epoch 67, Loss 77.4496, TD-Loss 36.0801, NTD-Loss 38.8901, Margin Loss 2.4779, L2 Loss 0.0015
