Using GPU for training.
Epoch 99, Score -4.0000, Loss 0.0611, Time 1.0137
Epoch 100, Score -7.0000, Loss 0.0554, Time 1.0180
Epoch 101, Score -9.0000, Loss 0.0460, Time 1.0138
Epoch 102, Score -10.0000, Loss 0.0633, Time 1.0105
Epoch 103, Score -9.0000, Loss 0.0505, Time 1.0153
Epoch 104, Score -10.0000, Loss 0.0487, Time 1.0221
Epoch 105, Score -12.0000, Loss 0.0781, Time 1.0344
Epoch 106, Score -11.0000, Loss 0.0491, Time 1.0314
Epoch 107, Score -13.0000, Loss 0.0501, Time 1.0352
Epoch 108, Score -15.0000, Loss 0.0464, Time 1.0385
Epoch 109, Score -17.0000, Loss 0.0586, Time 1.0330
Epoch 110, Score -16.0000, Loss 0.0551, Time 1.0386
Epoch 111, Score 0.0000, Loss 0.0505, Time 1.0549
Epoch 112, Score -1.0000, Loss 0.0528, Time 1.0430
Epoch 113, Score -3.0000, Loss 0.0499, Time 1.0437
Epoch 114, Score -5.0000, Loss 0.0575, Time 1.0465
Epoch 115, Score -6.0000, Loss 0.0454, Time 1.0544
Epoch 116, Score -7.0000, Loss 0.0436, Time 1.0484
Epoch 117, Score -9.0000, Loss 0.0407, Time 1.0502
Epoch 118, Score -11.0000, Loss 0.0399, Time 1.0610
Epoch 119, Score -13.0000, Loss 0.0463, Time 1.0613
Epoch 120, Score -15.0000, Loss 0.0436, Time 1.0599
Epoch 121, Score -16.0000, Loss 0.0492, Time 1.0614
Epoch 122, Score -18.0000, Loss 0.0497, Time 1.0609
Epoch 123, Score -20.0000, Loss 0.0385, Time 1.0793
Epoch 124, Score 0.0000, Loss 0.0455, Time 1.0874
Epoch 125, Score -2.0000, Loss 0.0442, Time 1.0749
Epoch 126, Score -3.0000, Loss 0.0465, Time 1.0837
Epoch 127, Score -5.0000, Loss 0.0417, Time 1.0794
Epoch 128, Score -7.0000, Loss 0.0425, Time 1.0825
Epoch 129, Score -9.0000, Loss 0.0423, Time 1.0862
Epoch 130, Score -8.0000, Loss 0.0528, Time 1.0844
Epoch 131, Score -11.0000, Loss 0.0508, Time 1.0817
Epoch 132, Score -13.0000, Loss 0.0427, Time 1.0968
Epoch 133, Score -14.0000, Loss 0.0479, Time 1.0936
Epoch 134, Score -16.0000, Loss 0.0538, Time 1.0942
Epoch 135, Score -15.0000, Loss 0.0526, Time 1.0921
