Epoch 49, Loss 60.5741, TD-Loss 28.7676, NTD-Loss 29.7348, Margin Loss 2.0702, L2 Loss 0.0014
Epoch 50, Loss 59.6968, TD-Loss 29.2799, NTD-Loss 29.0190, Margin Loss 1.3965, L2 Loss 0.0014
Epoch 51, Loss 72.8401, TD-Loss 34.5187, NTD-Loss 36.6944, Margin Loss 1.6255, L2 Loss 0.0015
Epoch 52, Loss 53.3491, TD-Loss 24.0458, NTD-Loss 26.4587, Margin Loss 2.8432, L2 Loss 0.0015
Epoch 53, Loss 41.4661, TD-Loss 18.9812, NTD-Loss 19.6331, Margin Loss 2.8504, L2 Loss 0.0015
Epoch 54, Loss 55.7551, TD-Loss 25.7571, NTD-Loss 27.0814, Margin Loss 2.9152, L2 Loss 0.0015
Epoch 55, Loss 65.0782, TD-Loss 31.8458, NTD-Loss 31.7241, Margin Loss 1.5068, L2 Loss 0.0015
Epoch 56, Loss 57.0812, TD-Loss 26.4883, NTD-Loss 29.3529, Margin Loss 1.2385, L2 Loss 0.0015
Epoch 57, Loss 69.8763, TD-Loss 33.9713, NTD-Loss 33.5559, Margin Loss 2.3477, L2 Loss 0.0015
Epoch 58, Loss 57.6934, TD-Loss 27.1952, NTD-Loss 28.5661, Margin Loss 1.9306, L2 Loss 0.0015
Epoch 59, Loss 62.3069, TD-Loss 29.9439, NTD-Loss 30.9263, Margin Loss 1.4353, L2 Loss 0.0015
Epoch 60, Loss 51.9678, TD-Loss 24.7871, NTD-Loss 25.1559, Margin Loss 2.0233, L2 Loss 0.0015
Epoch 61, Loss 69.3774, TD-Loss 33.6269, NTD-Loss 34.4466, Margin Loss 1.3024, L2 Loss 0.0015
Epoch 62, Loss 43.3949, TD-Loss 19.6042, NTD-Loss 21.2627, Margin Loss 2.5265, L2 Loss 0.0015
Epoch 63, Loss 68.0450, TD-Loss 33.1531, NTD-Loss 33.4440, Margin Loss 1.4464, L2 Loss 0.0015
Epoch 64, Loss 67.0058, TD-Loss 31.6458, NTD-Loss 32.7455, Margin Loss 2.6130, L2 Loss 0.0015
Epoch 65, Loss 58.3921, TD-Loss 27.6313, NTD-Loss 28.7419, Margin Loss 2.0174, L2 Loss 0.0015
Epoch 66, Loss 55.1962, TD-Loss 25.4589, NTD-Loss 27.1652, Margin Loss 2.5706, L2 Loss 0.0015
Epoch 67, Loss 55.7021, TD-Loss 26.9557, NTD-Loss 27.0471, Margin Loss 1.6979, L2 Loss 0.0015
Epoch 68, Loss 46.9317, TD-Loss 22.8219, NTD-Loss 22.5755, Margin Loss 1.5328, L2 Loss 0.0015
Epoch 69, Loss 64.2231, TD-Loss 30.7665, NTD-Loss 32.0629, Margin Loss 1.3923, L2 Loss 0.0015
Epoch 70, Loss 52.3101, TD-Loss 24.8494, NTD-Loss 25.9044, Margin Loss 1.5547, L2 Loss 0.0015
Epoch 71, Loss 80.9435, TD-Loss 40.3845, NTD-Loss 40.3846, Margin Loss 0.1729, L2 Loss 0.0015
Epoch 72, Loss 62.9304, TD-Loss 29.4297, NTD-Loss 31.2118, Margin Loss 2.2874, L2 Loss 0.0015
Epoch 73, Loss 61.8230, TD-Loss 29.2161, NTD-Loss 30.3311, Margin Loss 2.2743, L2 Loss 0.0015
Epoch 74, Loss 51.3577, TD-Loss 25.1303, NTD-Loss 25.1510, Margin Loss 1.0749, L2 Loss 0.0015
Epoch 75, Loss 58.9081, TD-Loss 28.0974, NTD-Loss 29.4118, Margin Loss 1.3975, L2 Loss 0.0015
Epoch 76, Loss 50.4064, TD-Loss 24.1812, NTD-Loss 24.4008, Margin Loss 1.8229, L2 Loss 0.0015
Epoch 77, Loss 75.9352, TD-Loss 36.3778, NTD-Loss 38.1097, Margin Loss 1.4463, L2 Loss 0.0015
Epoch 78, Loss 62.2327, TD-Loss 29.5259, NTD-Loss 31.0170, Margin Loss 1.6884, L2 Loss 0.0015
Epoch 79, Loss 60.6370, TD-Loss 29.2102, NTD-Loss 29.6488, Margin Loss 1.7765, L2 Loss 0.0015
Epoch 80, Loss 45.6563, TD-Loss 21.0709, NTD-Loss 22.4004, Margin Loss 2.1835, L2 Loss 0.0015
Epoch 81, Loss 64.7985, TD-Loss 31.8571, NTD-Loss 31.9551, Margin Loss 0.9848, L2 Loss 0.0015
Epoch 82, Loss 54.5262, TD-Loss 26.0072, NTD-Loss 26.8297, Margin Loss 1.6878, L2 Loss 0.0015
Epoch 83, Loss 78.6063, TD-Loss 37.9438, NTD-Loss 39.0440, Margin Loss 1.6170, L2 Loss 0.0015
Epoch 84, Loss 54.9832, TD-Loss 26.9173, NTD-Loss 27.5617, Margin Loss 0.5026, L2 Loss 0.0015
Epoch 85, Loss 51.9569, TD-Loss 23.8417, NTD-Loss 25.8750, Margin Loss 2.2387, L2 Loss 0.0015
Epoch 86, Loss 70.9078, TD-Loss 33.3049, NTD-Loss 35.4769, Margin Loss 2.1245, L2 Loss 0.0015
Epoch 87, Loss 46.2917, TD-Loss 22.5753, NTD-Loss 23.4453, Margin Loss 0.2696, L2 Loss 0.0015
Epoch 88, Loss 63.9779, TD-Loss 30.9162, NTD-Loss 31.0243, Margin Loss 2.0359, L2 Loss 0.0015
Epoch 89, Loss 40.8634, TD-Loss 18.8943, NTD-Loss 20.1137, Margin Loss 1.8540, L2 Loss 0.0015
Epoch 90, Loss 59.8522, TD-Loss 28.5519, NTD-Loss 29.4499, Margin Loss 1.8489, L2 Loss 0.0015
Epoch 91, Loss 58.2760, TD-Loss 27.9018, NTD-Loss 28.5736, Margin Loss 1.7990, L2 Loss 0.0015
Epoch 92, Loss 59.6472, TD-Loss 28.4280, NTD-Loss 29.7621, Margin Loss 1.4556, L2 Loss 0.0015
Epoch 93, Loss 43.6455, TD-Loss 22.0309, NTD-Loss 21.9745, Margin Loss -0.3614, L2 Loss 0.0015
Epoch 94, Loss 59.0178, TD-Loss 28.1796, NTD-Loss 29.4795, Margin Loss 1.3573, L2 Loss 0.0015
Epoch 95, Loss 53.6719, TD-Loss 25.2896, NTD-Loss 26.6516, Margin Loss 1.7292, L2 Loss 0.0015
Epoch 96, Loss 74.7187, TD-Loss 35.0029, NTD-Loss 38.1444, Margin Loss 1.5698, L2 Loss 0.0015
Epoch 97, Loss 68.0061, TD-Loss 33.2474, NTD-Loss 33.3622, Margin Loss 1.3949, L2 Loss 0.0015
Epoch 98, Loss 57.6466, TD-Loss 27.5326, NTD-Loss 28.5718, Margin Loss 1.5406, L2 Loss 0.0015
Epoch 99, Loss 57.3553, TD-Loss 29.0157, NTD-Loss 27.6914, Margin Loss 0.6466, L2 Loss 0.0015
Epoch 100, Loss 63.1861, TD-Loss 18.5358, NTD-Loss 41.4058, Margin Loss 3.2430, L2 Loss 0.0015
Epoch 101, Loss 41.8961, TD-Loss 13.4275, NTD-Loss 26.4371, Margin Loss 2.0300, L2 Loss 0.0016
Epoch 102, Loss 52.8644, TD-Loss 19.1507, NTD-Loss 31.1343, Margin Loss 2.5778, L2 Loss 0.0016
Epoch 103, Loss 30.8945, TD-Loss 12.3979, NTD-Loss 17.9200, Margin Loss 0.5751, L2 Loss 0.0016
Epoch 104, Loss 37.6375, TD-Loss 14.7868, NTD-Loss 20.7889, Margin Loss 2.0603, L2 Loss 0.0016
Epoch 105, Loss 38.6110, TD-Loss 15.1358, NTD-Loss 20.5675, Margin Loss 2.9062, L2 Loss 0.0016
Epoch 106, Loss 37.4264, TD-Loss 15.7235, NTD-Loss 20.4168, Margin Loss 1.2845, L2 Loss 0.0016
Epoch 107, Loss 31.0764, TD-Loss 11.7515, NTD-Loss 16.5881, Margin Loss 2.7352, L2 Loss 0.0016
Epoch 108, Loss 28.5797, TD-Loss 12.7345, NTD-Loss 16.1159, Margin Loss -0.2723, L2 Loss 0.0016
Epoch 109, Loss 37.5359, TD-Loss 15.5590, NTD-Loss 19.4701, Margin Loss 2.5053, L2 Loss 0.0016
Epoch 110, Loss 33.6106, TD-Loss 15.0915, NTD-Loss 17.8394, Margin Loss 0.6782, L2 Loss 0.0016
Epoch 111, Loss 39.5374, TD-Loss 16.2196, NTD-Loss 21.1473, Margin Loss 2.1689, L2 Loss 0.0016
Epoch 112, Loss 31.3294, TD-Loss 13.6591, NTD-Loss 16.0709, Margin Loss 1.5978, L2 Loss 0.0016
Epoch 113, Loss 35.4470, TD-Loss 14.4722, NTD-Loss 18.6068, Margin Loss 2.3665, L2 Loss 0.0016
Epoch 114, Loss 34.9427, TD-Loss 16.1924, NTD-Loss 18.1281, Margin Loss 0.6206, L2 Loss 0.0016
Epoch 115, Loss 36.6628, TD-Loss 15.2539, NTD-Loss 19.0316, Margin Loss 2.3758, L2 Loss 0.0016
Epoch 116, Loss 43.9662, TD-Loss 19.8685, NTD-Loss 22.2814, Margin Loss 1.8147, L2 Loss 0.0016
